FID,class,residue,VVresidue,VHresidue,span,ratio,product
237,2,NC,-22.43406268,-43.60745142,49.03974906,0.514454799,978.2922984
238,2,NC,-12.79890983,-34.73454628,37.01757418,0.368477818,444.5643258
239,2,NC,-27.49850163,-34.22431159,43.90297365,0.80347859,941.1172878
240,2,NC,-28.41219765,-37.52634844,47.06888359,0.757126628,1066.206029
241,2,NC,-21.25287728,-32.8878648,39.15732938,0.646222472,698.9617545
242,2,NC,-30.14294896,-56.16435654,63.74191963,0.536691788,1692.959333
243,2,NC,-27.67219787,-61.17456137,67.14221841,0.452348121,1692.834567
244,2,NC,-22.83797416,-56.38897276,60.83822246,0.405007806,1287.809903
245,2,NC,-25.40379178,-26.97764768,37.05598617,0.941660744,685.3345445
246,2,NC,-29.93031554,-48.14541229,56.69042699,0.621664955,1441.007382
247,2,NC,-15.56556707,-36.82464929,39.97926554,0.422694238,573.1965483
248,2,NC,-23.35523134,-35.75142057,42.70399166,0.653267226,834.982698
