FID,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDRI,NDTI,NDI7,STI
147,-11.46477013,-28.72314299,30.92668585,0.39914748,329.3042319,0.714720939,921,1391,2100,3163,2864.5,-0.153992787,0.137846604,0.049523704,1.319773674
148,-80.76991545,-114.5967051,140.2005137,0.704818829,9255.966178,0.586572592,248,480.5,759.5,1201,1504.5,-0.329069287,0.085262924,-0.112185605,1.186430097
149,-46.27821537,-65.58662507,80.27003554,0.705604463,3035.23196,0.586302406,714,1096,1654,2472,2900,-0.273605615,0.068422645,-0.079672977,1.146896601
150,-20.51265253,-36.78936855,42.12156873,0.557570117,754.6475339,0.642025671,697,1191,1859,3011.5,2889,-0.216945261,0.135418102,0.020760125,1.313256979
151,-14.66836375,-37.37335029,40.14882572,0.392481906,548.2058966,0.718142186,636,1169,1817,2993,2646.5,-0.185842246,0.150263816,0.061441444,1.353673458
152,2.926521711,-5.138319628,5.913278103,-0.569548398,-15.03740395,2.323141544,1013.5,1522,2365,3546.5,2743.5,-0.074092232,0.17785424,0.127662018,1.432659268
153,0.327352461,-3.238052428,3.254557291,-0.101095479,-1.059984431,1.112465202,1147,1674,2492,3532,2829.5,-0.063419752,0.164844975,0.110413052,1.394765496
154,-0.712720526,-8.937498109,8.965871012,0.079744971,6.369938353,0.926144624,1027,1520,2360,3454,2806,-0.086341754,0.155386969,0.103486165,1.367951632
155,-9.38198123,-16.55404642,19.02782238,0.566748515,155.3097528,0.638264527,867,1399,2161,3268,2886.5,-0.143735811,0.135842994,0.061982349,1.314394236
156,-1.245875879,-17.94357845,17.98677887,0.069432966,22.35547158,0.935074971,713,1188,1776,2661,2442,-0.157894731,0.137711868,0.042915933,1.319410324
157,1.658738428,-8.459032752,8.620130409,-0.196090791,-14.03132269,1.243921564,1130,1600,2390,3495,2716,-0.063847691,0.179393306,0.125420377,1.437222123
158,-3.324372997,7.225916678,7.953950443,-0.460062459,-24.02164228,1.852066072,716,1131,1959,2710.5,2474,-0.116276249,0.10792537,0.045868166,1.241964936
159,-3.330011063,-15.29065148,15.64905737,0.217780849,50.91803861,0.821165812,907,1415,2173,3308,2840,-0.13302511,0.174263954,0.075942606,1.42208159
160,-13.79958553,-27.15276579,30.45818857,0.508220254,374.696914,0.663033133,876,1365,2063,3132.5,2955,-0.177759454,0.146508604,0.029156515,1.343315959
161,-27.31267077,-58.32662619,64.40479258,0.468271055,1593.055938,0.681073155,771,1122,1748,2646,2955,-0.256644696,0.106305763,-0.055168718,1.237901807
162,-3.785742664,-13.15777865,13.69156626,0.287718981,49.81196401,0.776566949,997,1499,2272,3480,2822.5,-0.108058363,0.169914022,0.104322366,1.409389019
163,5.504116086,-11.8996758,13.11097167,-0.462543365,-65.49719698,1.860615229,974,1534,2348,3532,2996,-0.121257484,0.138585389,0.082107842,1.321762323
164,0.743042363,-2.500786638,2.608839926,-0.297123454,-1.858190413,1.422724952,1033,1540,2401,3590,2810.5,-0.0785762,0.171310663,0.121787317,1.413449645
