FID,class,residue,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDTI,NDRI,NDI7,STI
139,1,RC,-4.442745076,-12.85007709,13.59641368,0.345736842,57.0896167,0.743087332,800,1256,1968,2986,2613,0.147471458,-0.140798956,0.066619039,1.345962524
140,1,RC,-10.69282097,-32.4416904,34.15844985,0.329601227,346.8931874,0.752105202,760,1178,1821,2829.5,2744.5,0.144815668,-0.202277228,0.015244181,1.338677049
141,1,RC,-20.2470073,-45.25249857,49.57549729,0.44742297,916.2276688,0.690883053,745,1178,1808,2645,2918,0.119625889,-0.234870926,-0.04907424,1.271761537
142,1,RC,-24.53012394,-30.4285123,39.08479681,0.806155875,746.4151782,0.55366207,707,1172,1732,2647,2568,0.128013581,-0.194418609,0.01514861,1.293613672
143,1,RC,-20.82525782,-21.64853838,30.03915074,0.961970617,450.8363932,0.509691629,576,936,1488,2633,2210,0.197385147,-0.195240676,0.087342553,1.491855145
144,1,RC,-18.99573591,-35.43010859,40.20112657,0.536146703,673.020986,0.650979492,749,1194,1862,2893,2736,0.151496351,-0.190082639,0.027891276,1.357090592
145,1,RC,-6.86081903,-17.14715439,18.46877748,0.400114146,117.6435232,0.714227481,802.5,1304,2075,3157,2794.5,0.151956484,-0.148017302,0.060641695,1.358369589
146,1,RC,-8.391536653,-11.68395187,14.38515272,0.718210477,98.04631039,0.582000874,1036,1621,2571,3886,2808,0.190695509,-0.044325136,0.160780087,1.471257806
147,1,RC,-20.45565396,-24.64229102,32.02618125,0.830103578,504.0741779,0.54641716,772,1118,1694,2662,2521,0.135904029,-0.196204036,0.027204322,1.314557672
148,1,RC,-9.432311924,-14.65714089,17.42986768,0.643530139,138.2507248,0.608446402,825.5,1293,2031,3209,2924,0.143586695,-0.180388138,0.046989832,1.335321188
149,1,RC,-14.24924607,-14.51039551,20.33697597,0.982002597,206.7621962,0.504540207,830.5,1236,1964,3054,2645.5,0.15242289,-0.147846833,0.071672849,1.359667301
150,1,RC,-6.531381495,-15.58800923,16.90103476,0.419000361,101.811235,0.704721456,814,1316,2006,3032,2707,0.15577732,-0.148737535,0.056630075,1.369043231
151,1,RC,-12.58852872,-7.42005335,14.61260576,1.696555015,93.40755471,0.370843537,902,1340,2080,3170,2633.5,0.173279196,-0.118001953,0.092227452,1.419199944
152,1,RC,-22.79385801,-32.71296,39.87101346,0.696783721,745.6545652,0.589350303,769,1186,1758,2802,2583,0.155882359,-0.190048382,0.040668525,1.369338036
153,1,RC,-8.871192153,-13.17947575,15.88699566,0.673106603,116.9176618,0.597690546,949.5,1540,2324,3549,2795,0.176305816,-0.092009529,0.118852459,1.428085685
154,1,RC,-6.555068998,-20.45875183,21.48323663,0.32040415,134.1085298,0.757343878,862.5,1330,2046,3127,2725.5,0.161114424,-0.142750636,0.068469226,1.384121537
155,1,RC,-2.005590197,-19.43997547,19.54315835,0.10316835,38.98862422,0.906479958,814,1355,2052,3120.5,2858.5,0.145759732,-0.164239913,0.043816227,1.341261864
156,1,RC,-9.743920057,-16.22464504,18.92572548,0.600562911,158.0916442,0.62478019,889,1434,2232,3410,2868,0.166642457,-0.124705881,0.08633323,1.399930239
157,1,RC,-16.61315213,-35.80898334,39.47505683,0.463938112,594.9000879,0.683088986,645,1038,1641,2684,2453,0.152969614,-0.19833903,0.044967879,1.361190438
158,1,RC,-12.19401521,-18.46788023,22.13044526,0.660282342,225.1976125,0.602307195,731.5,1181,1873,3071,2594,0.166987717,-0.161665604,0.084201165,1.400924921
159,1,RC,-5.261906959,-17.39703546,18.17538191,0.302459978,91.54158195,0.76777791,956.5,1499,2272,3435.5,2693,0.180601984,-0.084331043,0.120829247,1.440816283
